Original_function_call;input_dir_tif;input_file_czi;cilium_color;nucleus_color;projection_method_for_threshold_calculation;threshold_by_density_of_cilium_pixels;threshold_find;threshold_connect;vicinity_combine;vicinity_connect;min_cilium_area_in_pixels;max_cilium_area_in_pixels;number_size_factor;pixel_size;slice_distance;nuc_mask_width_height_in_pixels
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_2.6;NA;green;NA;max;TRUE;0,315739681086442;0,0315739681086442;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_2.7;NA;green;NA;max;TRUE;0,301503013656825;0,0301503013656825;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_2.8;NA;green;NA;max;TRUE;0,288792248416876;0,0288792248416876;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_2.9;NA;green;NA;max;TRUE;0,279438467994202;0,0279438467994202;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_2;NA;green;NA;max;TRUE;0,385687037460899;0,0385687037460899;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_3.1;NA;green;NA;max;TRUE;0,262729839017319;0,0262729839017319;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_3.2;NA;green;NA;max;TRUE;0,254825665674830;0,0254825665674830;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_3.3;NA;green;NA;max;TRUE;0,247135118638895;0,0247135118638895;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_3.4;NA;green;NA;max;TRUE;0,239078355077440;0,0239078355077439;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_3.5;NA;green;NA;max;TRUE;0,231723506523232;0,0231723506523232;5;1;5;100;0,2;1;1;45
