Cilium.ID,Position,Total.Length.pixel.,Outer.Length.pixel.,Out.In.Ratio...,Analysis.Time.s.,Manual.Total.Length.pixel.,Manual.Outer.Length.pixel.,Manual.Out.In.Ratio...,Manual.Analysis.Time.s.,fileName
20,"[272,937,20,14]",9.547853414596386,5.217064246873575,54.64065460246186,0.0023452,9.547853414596386,5.217064246873575,54.64065460246186,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection.tif
21,"[100,993,22,16]",12.93489426446847,12.93489426446847,99.99922690340672,0.0023519,12.93489426446847,12.93489426446847,99.99922690340672,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection.tif
22,"[74.9883,773.6371,15.4114,22.2609]",14.617314224214088,14.617314224214088,99.99931588447542,0.0414322,14.617314224214088,14.617314224214088,99.99931588447542,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection.tif
23,"[319.8579,222.2525,20.5485,17.1237]",17.270326076468745,17.270326076468745,99.9994209754898,0.0261579,17.270326076468745,17.270326076468745,99.9994209754898,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection.tif
1,"[252,45,17,17]",10.83732787108953,1.5097725245013427,13.93109640460804,0.0044415,10.83732787108953,1.5097725245013427,13.93109640460804,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_projection.tif
2,"[108,160,16,20]",12.096354982632857,1.903296862844682,15.734335932116366,0.0025452,12.096354982632857,1.903296862844682,15.734335932116366,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_projection.tif
3,"[609,199,21,16]",9.224669501066026,1.2886708437332266,13.969680690496451,0.0021997,9.224669501066026,1.2886708437332266,13.969680690496451,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_projection.tif
4,"[256,201,18,14]",8.485281374238571,8.485281374238571,99.99882150258676,0.0024281,8.485281374238571,8.485281374238571,99.99882150258676,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_projection.tif
5,"[821,281,17,17]",11.183859862403388,6.071880056314587,54.29096787736294,0.0021779,11.183859862403388,6.071880056314587,54.29096787736294,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_projection.tif
6,"[491,291,22,13]",11.18385986240339,1.9053576959774623,17.036521226999543,0.0021823,11.18385986240339,1.9053576959774623,17.036521226999543,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_projection.tif
