fileName,researcher,Cilium_number,horizontal_length_in_pixels,z_lower,z_upper,horizontal_scaling_in_um,vertical_scaling_in_um,horizontal_length_in_um,vertical_length_in_layers,vertical_length_in_um,total_length_in_um
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi,kai,10,12.901,1,2,0.109823521291513,0.429804210436651,1.4168332481818091,2,0.859608420873302,1.6572094286449457
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi,kai,11,10.132,1,1,0.109823521291513,0.429804210436651,1.1127319177256096,1,0.429804210436651,1.1928553894057679
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi,kai,12,12.816,1,2,0.109823521291513,0.429804210436651,1.4074982488720307,2,0.859608420873302,1.6492355677143653
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi,kai,13,15.665,1,1,0.109823521291513,0.429804210436651,1.720385461031551,1,0.429804210436651,1.7732619078516898
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi,kai,14,10.37,1,1,0.109823521291513,0.429804210436651,1.1388699157929898,1,0.429804210436651,1.2172741451322313
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi,kai,15,13.494,1,2,0.109823521291513,0.429804210436651,1.4819585963076765,2,0.859608420873302,1.7132215030189502
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi,kai,16,19.741,1,2,0.109823521291513,0.429804210436651,2.1680261338157583,2,0.859608420873302,2.3322229640719163
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi,kai,17,12.44,1,1,0.109823521291513,0.429804210436651,1.3662046048664216,1,0.429804210436651,1.432217400280868
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi,kai,1,10.02,6,12,0.219647042583026,0.281,2.2008633666819204,7,1.967,2.951760247513757
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi,kai,2,7.907,6,12,0.219647042583026,0.281,1.7367491657039866,7,1.967,2.624002032120687
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi,kai,3,5.219,5,11,0.219647042583026,0.281,1.1463379152408129,7,1.967,2.2766597497032035
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi,kai,4,8.062,7,12,0.219647042583026,0.281,1.7707944573043555,6,1.6860000000000002,2.4450580790688443
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi,kai,5,8.96,8,15,0.219647042583026,0.281,1.968037501543913,8,2.248,2.987754274950202
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi,kai,6,11.336,5,12,0.219647042583026,0.281,2.489918874721183,8,2.248,3.354578960569091
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi,kai,7,5.204,6,13,0.219647042583026,0.281,1.1430432096020673,8,2.248,2.5219143084207674
