fileName,cilium_number_clemens,cilium_number_kai,horizontal_length_in_pixels,horizontal_length_in_um,horizontal_scaling_in_um,researcher,vertical_scaling_in_um,z_lower,z_upper,zstack_layers,comments,vertical_length_in_layers,vertical_length_in_um,total_length_in_um
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_11.czi,4,4,9.569352120180334,2.10187989263322,0.219647042583026,clemens,0.281399093816734,8,18,11,NA,11,3.095390031984074,3.7415689935055596
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_11.czi,5,5,4.319740298906871,0.948818181381611,0.219647042583026,clemens,0.281399093816734,10,20,11,NA,11,3.095390031984074,3.23754465473863
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_11.czi,6,6,6.3253458403474365,1.3893435071471598,0.219647042583026,clemens,0.281399093816734,10,23,14,NA,14,3.9395873134342763,4.177394353065589
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_11.czi,7,7,11.510864433221396,2.5283273303312197,0.219647042583026,clemens,0.281399093816734,5,16,12,NA,12,3.376789125800808,4.218429078392379
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_11.czi,8,8,8.044874144447522,1.76703281378055,0.219647042583026,clemens,0.281399093816734,9,17,9,NA,9,2.532591844350606,3.088110492687788
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_11.czi,9,18,8.707611612836178,1.91260113872108,0.219647042583026,clemens,0.281399093816734,9,18,10,NA,10,2.81399093816734,3.40243855432028
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_11.czi,10,11,10.65162106207316,2.33959706499944,0.219647042583026,clemens,0.281399093816734,9,17,9,NA,9,2.532591844350606,3.447859608021359
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_11.czi,11,9,12.5530125866264,2.7572320901599903,0.219647042583026,clemens,0.281399093816734,6,17,12,NA,12,3.376789125800808,4.359476298723806
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_11.czi,12,12,11.600969787048,2.54811870482013,0.219647042583026,clemens,0.281399093816734,12,21,10,NA,10,2.81399093816734,3.796242080524123
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_11.czi,13,10,9.382030697029336,2.0607352960256597,0.219647042583026,clemens,0.281399093816734,10,22,13,NA,13,3.658188219617542,4.198686819760974
