fileName,cilium_number_automatic,cilium_number_clemens,comments
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_9.czi,17,23,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_9.czi,NA,24,at border
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_9.czi,23,25,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_9.czi,NA,26,at border
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,5,1,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,3,2,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,2,3,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,6,4,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,4,5,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,NA,6,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,7,7,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,8,8,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,9,9,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,10,10,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,12,11,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,11,12,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,14,13,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,13,14,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,16,15,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,18,16,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,17,17,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,19,18,NA
