"fileName","cilium","vertical_length","horizontal_length","total_length","to_be_removed"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_7",20,4.50238550106774,1.97723854960889,4.91741268171429,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_7",21,4.50238550106774,1.59421534670056,4.77629540249351,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_7",22,4.50238550106774,1.32663333087338,4.69376514056778,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_7",23,4.22098640725101,1.10095510219853,4.36220453294602,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_7",24,4.78378459488448,2.87289869917382,5.58015608974952,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_7",25,4.50238550106774,1.54518639523177,4.76015506010407,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",1,3.93958731343428,1.45508202901622,4.19971569410814,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",2,4.50238550106774,3.61550882455992,5.77437262918628,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",3,5.06518368870121,1.3573689653195,5.24390468146565,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",4,5.06518368870121,3.46587613882856,6.13745738966765,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",5,5.06518368870121,3.59713121524963,6.21252273879204,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",6,5.62798187633468,2.28612852170045,6.07458341107305,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",7,4.78378459488448,3.0450870569746,5.67072748726372,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",8,4.50238550106774,3.0783829848047,5.4541651058031,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",9,4.78378459488448,3.75198810755335,6.07963895387513,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",10,3.93958731343428,2.17423404990235,4.49973798169705,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",11,4.22098640725101,2.74523185253784,5.03517866360134,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",12,5.62798187633468,1.99173490174432,5.97002411378531,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",13,5.62798187633468,2.51377142274929,6.16386459667818,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",14,4.78378459488448,1.637089764877,5.05615050690929,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",15,4.22098640725101,1.9680832690567,4.65726078335095,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",16,5.06518368870121,2.9062292065789,5.83971352049542,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",17,3.65818821961754,1.41854260372561,3.92359582127583,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",18,4.78378459488448,2.09302323045142,5.22162247711029,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",19,5.34658278251795,2.51131337434949,5.90699943410391,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",20,3.93958731343428,1.53752929808118,4.22898859570824,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",21,5.06518368870121,4.55426182060157,6.81156270842998,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",22,6.19078006396815,3.34275798045558,7.03560862444216,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",23,5.34658278251795,1.3627713368803,5.51752600056763,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",1,4.50238550106774,2.08747623893641,4.96276457716353,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",2,4.78378459488448,3.12563682962516,5.71438541235742,"yes_or_no"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",3,5.90938097015141,3.14382579767726,6.69361069203526,"yes_or_no"
