fileName;cilium;vertical_length;horizontal_length;total_length;to_be_removed
181004_ES3_367_x63_zstack_6;8;2,251192751;0,897588228;2,423537379;no
181004_ES3_367_x63_zstack_6;9;1,406995469;2,018936874;2,460841798;no
181004_ES3_367_x63_zstack_6;10;1,406995469;0,934012953;1,688791416;no
181004_ES3_367_x63_zstack_6;11;1,969793657;3,515649979;4,029873673;no
181004_ES3_367_x63_zstack_6;12;1,406995469;3,920193752;4,165039652;no
181004_ES3_367_x63_zstack_6;13;1,688394563;0,87858817;1,90331116;no
181004_ES3_367_x63_zstack_6;14;1,688394563;3,8747466;4,22662246;no
181004_ES3_367_x63_zstack_7;1;3,095390032;7,234530123;7,868917686;no
181004_ES3_367_x63_zstack_7;2;1,688394563;2,211269612;2,782155549;no
181004_ES3_367_x63_zstack_7;3;1,688394563;2,460924337;2,984430397;no
181004_ES3_367_x63_zstack_7;4;1,125596375;0,219647043;1,146826937;no
181004_ES3_367_x63_zstack_7;5;2,532591844;6,836168996;7,290214537;no
181004_ES3_367_x63_zstack_7;6;1,406995469;0,878934723;1,658964285;no
181004_ES3_367_x63_zstack_7;7;1,406995469;2,379775893;2,764592113;no
181004_ES3_367_x63_zstack_7;8;1,406995469;2,832723116;3,162903176;no
181004_ES3_367_x63_zstack_7;9;1,406995469;2,884685903;3,209524732;no
181004_ES3_367_x63_zstack_7;10;1,406995469;0,658941128;1,553653649;no
181004_ES3_367_x63_zstack_7;11;1,406995469;0,904624248;1,672716736;no
181004_ES3_367_x63_zstack_7;12;1,688394563;3,08373328;3,515691559;no
181004_ES3_367_x63_zstack_8;1;2,251192751;6,642935413;7,014018798;no
181004_ES3_367_x63_zstack_8;2;1,969793657;1,775208746;2,651688734;no
181004_ES3_367_x63_zstack_8;3;2,532591844;3,525239834;4,340660933;no
181004_ES3_367_x63_zstack_8;4;1,688394563;2,914298051;3,368057204;no
181004_ES3_367_x63_zstack_9;1;2,251192751;0,880035982;2,417091668;no
181004_ES3_367_x63_zstack_9;2;2,532591844;2,934547931;3,876285982;no
181004_ES3_367_x63_zstack_9;3;1,969793657;5,047237526;5,417997203;no
181004_ES3_367_x63_zstack_9;4;1,969793657;0,879870781;2,15737332;no
181004_ES3_367_x63_zstack_9;5;1,688394563;0,924053187;1,924720887;no
181005_ES3_365_x63_zstack_1;1;2,813990938;7,499247618;8,009822709;no
181005_ES3_365_x63_zstack_1;2;1,688394563;1,839648618;2,496994841;no
181005_ES3_365_x63_zstack_1;3;1,406995469;0,951803851;1,698695623;no
181005_ES3_365_x63_zstack_1;4;1,969793657;3,204726036;3,761695896;no
181005_ES3_365_x63_zstack_1;5;1,969793657;1,335795069;2,380007462;no
181005_ES3_365_x63_zstack_1;6;1,688394563;1,328668835;2,148496468;no
181005_ES3_365_x63_zstack_1;7;2,251192751;4,355301235;4,902705136;no
181005_ES3_365_x63_zstack_1;8;2,813990938;4,174451579;5,034341167;no
181005_ES3_365_x63_zstack_1;9;1,406995469;1,10534722;1,789253679;no
