fileName,cilium,cilium_shape,cilium_projection_area_in_pixels,cilium_projection_area_in_um2,number_of_z_stack_layers,lowest_cilium_layer,uppermost_cilium_layer,vertical_length_in_layers,vertical_length_in_um,horizontal_length_in_pixels,horizontal_length_in_um,total_length_in_um,to_be_removed
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,14,TRUE,32,1.5,27,14,23,10,2.81,8.4,1.83,3.36,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,15,TRUE,38,1.8,27,17,27,11,3.1,8.7,1.91,3.64,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,16,TRUE,35,1.7,27,13,22,10,2.81,9.1,2,3.45,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,17,TRUE,26,1.3,27,14,24,11,3.1,7,1.54,3.46,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,18,TRUE,23,1.1,27,16,21,6,1.69,6.1,1.35,2.16,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,1,TRUE,28,1.4,28,9,17,9,2.53,8.4,1.84,3.13,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,2,TRUE,60,2.9,28,7,19,13,3.66,12.4,2.73,4.56,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,3,FALSE,26,1.3,28,13,21,9,2.53,6,1.33,2.86,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,4,TRUE,35,1.7,28,9,20,12,3.38,9,1.99,3.92,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,5,TRUE,27,1.3,28,10,20,11,3.1,7.1,1.55,3.46,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,6,TRUE,24,1.2,28,12,20,9,2.53,7,1.54,2.96,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,7,TRUE,25,1.2,28,11,19,9,2.53,7,1.55,2.97,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,8,FALSE,24,1.2,28,12,21,10,2.81,6.1,1.34,3.12,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,9,TRUE,51,2.5,28,11,21,11,3.1,12,2.64,4.07,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,10,TRUE,21,1,28,13,19,7,1.97,7.4,1.63,2.56,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,11,TRUE,29,1.4,28,12,21,10,2.81,8.9,1.95,3.43,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,12,TRUE,37,1.8,28,13,21,9,2.53,12,2.64,3.66,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,13,TRUE,20,1,28,14,21,8,2.25,6,1.32,2.61,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3.czi,1,TRUE,32,1.5,27,13,21,9,2.53,9.1,1.99,3.22,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3.czi,2,TRUE,44,2.1,27,14,21,8,2.25,15.8,3.48,4.14,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3.czi,3,TRUE,32,1.5,27,11,21,11,3.1,7.8,1.72,3.54,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3.czi,4,TRUE,18,0.9,27,14,20,7,1.97,8.1,1.78,2.66,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3.czi,5,TRUE,19,0.9,27,15,21,7,1.97,7,1.54,2.5,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3.czi,6,FALSE,24,1.2,27,15,21,7,1.97,6,1.32,2.37,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3.czi,7,TRUE,53,2.6,27,12,22,11,3.1,12.6,2.77,4.16,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3.czi,8,TRUE,42,2,27,14,24,11,3.1,11.1,2.43,3.93,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3.czi,9,TRUE,49,2.4,27,12,22,11,3.1,11.2,2.46,3.95,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3.czi,10,TRUE,42,2,27,14,23,10,2.81,12,2.63,3.85,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3.czi,11,TRUE,37,1.8,27,15,24,10,2.81,9.1,2,3.45,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3.czi,12,TRUE,37,1.8,27,14,24,11,3.1,9.5,2.08,3.73,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3.czi,13,FALSE,20,1,27,15,24,10,2.81,5,1.11,3.02,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3.czi,14,TRUE,28,1.4,27,14,23,10,2.81,8.5,1.86,3.37,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3.czi,15,TRUE,30,1.4,27,15,23,9,2.53,8.5,1.87,3.15,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3.czi,16,FALSE,22,1.1,27,15,25,11,3.1,6,1.33,3.37,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3.czi,17,TRUE,40,1.9,27,16,26,11,3.1,8.4,1.85,3.61,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3.czi,18,TRUE,58,2.8,27,16,27,12,3.38,12,2.64,4.29,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_4.czi,1,FALSE,28,1.4,35,10,19,10,2.81,7.2,1.59,3.23,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_4.czi,2,TRUE,25,1.2,35,12,19,8,2.25,9.1,1.99,3.01,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_4.czi,3,TRUE,19,0.9,35,15,21,7,1.97,5.1,1.12,2.27,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_4.czi,4,TRUE,41,2,35,11,22,12,3.38,10.2,2.23,4.05,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_4.czi,5,TRUE,36,1.7,35,11,21,11,3.1,9.1,1.99,3.68,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_4.czi,6,TRUE,39,1.9,35,13,22,10,2.81,10,2.2,3.57,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_4.czi,7,TRUE,41,2,35,13,23,11,3.1,9.1,1.99,3.68,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_4.czi,8,FALSE,19,0.9,35,13,21,9,2.53,5,1.1,2.76,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_4.czi,9,TRUE,42,2,35,11,22,12,3.38,8.9,1.96,3.9,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_4.czi,10,TRUE,23,1.1,35,13,21,9,2.53,6.4,1.41,2.9,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_4.czi,11,FALSE,36,1.7,35,13,23,11,3.1,7.1,1.56,3.47,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_4.czi,12,FALSE,22,1.1,35,18,27,10,2.81,5,1.1,3.02,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_4.czi,13,TRUE,32,1.5,35,13,23,11,3.1,9.2,2.03,3.7,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_4.czi,14,TRUE,35,1.7,35,13,23,11,3.1,8.5,1.88,3.62,
